timestamp,grafana--9c652fda54bf416696909af2f2ffed78,prometheus--62e5e457865142e4a9abd4c8da65381d,dora--50326b647ce047878a34128a60ffbdc3,beacon-metrics-gazer--9494adc28d9a4f3a9ebe5d2f68d76987,el-forkmon--1fc4e8413cd24add876e8a06419b2cf2,vc-5-geth-prysm--ceb1122f96e349d3a7b154544da0152b,ethereum-metrics-exporter-5-prysm-geth--5369079979234001bc12104e5dda672f,vc-4-geth-prysm--92e022d7728547b481f39a856e585cef,ethereum-metrics-exporter-4-prysm-geth--37675b0b6aef4b5aabe92019600fa700,vc-3-geth-prysm--4736ff2d86de4a889181350fc17b98c7,ethereum-metrics-exporter-3-prysm-geth--e7f24c930aab4a1091f206957564d040,vc-2-geth-prysm--4bb20b6f9f5845bd977fb8b9c32ed18f,ethereum-metrics-exporter-2-prysm-geth--b19fe24fc7fe491785296987e0c23fc8,vc-1-geth-prysm--b7845805ee4c41faa1480aaa19ad47eb,ethereum-metrics-exporter-1-prysm-geth--280fa5f2d7474029adb08f4147e25040,cl-5-prysm-geth--3806ae07666341aea18cc33d9671db8a,cl-4-prysm-geth--51e00612d88543aeb907bb80ad76aaa7,cl-3-prysm-geth--316634be263d456891d1bef3c4f95a39,cl-2-prysm-geth--a0b305c36eaa42ec929e54f3e183fdf8,cl-1-prysm-geth--4fdf5cfa38d14eb089f45267e1de31ac,el-5-geth-prysm--2c9145d33b7441c9a46872c52c5bdb14,el-4-geth-prysm--c9e5d3239aeb45f18101437cca229111,el-3-geth-prysm--da9eaf2b3f8b492ab526185206389baf,el-2-geth-prysm--db9cf52bdd334e918f89defbd18585a3,el-1-geth-prysm--64bfd2e0b4bf45d690a9a09863350c2b,validator-key-generation-cl-validator-keystore--9a9533696e4e4b2aa79eedbefcaf4d3b,kurtosis-api--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-logs-collector--ca28a5d8df5d4e1c8bd52a8e36ce8cfa,kurtosis-engine--6fdc57d17383499788d1f083430c337f,kurtosis-reverse-proxy--6fdc57d17383499788d1f083430c337f,kurtosis-logs-aggregator,helpers-grafana-1,prometheus,cadvisor,portainer
1716642215,129000.0,43900.0,13500.0,6590.0,14900.0,1050.0,156.0,430.0,217.0,459.0,143.0,922.0,397.0,23900.0,6160.0,700.0,455.0,164.0,528.0,23400.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,593000.0,314000.0
1716642230,129000.0,44100.0,13500.0,6590.0,15000.0,1060.0,209.0,438.0,217.0,463.0,143.0,1060.0,397.0,23900.0,6160.0,823.0,455.0,164.0,532.0,23400.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
1716642245,129000.0,44100.0,13500.0,6590.0,15000.0,1070.0,209.0,578.0,217.0,492.0,143.0,1060.0,397.0,23900.0,6220.0,823.0,471.0,164.0,578.0,23400.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
1716642260,129000.0,44100.0,13500.0,6590.0,15200.0,1070.0,213.0,586.0,217.0,504.0,143.0,1070.0,397.0,23900.0,6220.0,823.0,471.0,184.0,578.0,23400.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
1716642275,130000.0,44200.0,13500.0,6590.0,15600.0,1080.0,213.0,602.0,262.0,516.0,143.0,1090.0,397.0,23900.0,6260.0,823.0,492.0,184.0,606.0,23400.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
1716642290,130000.0,44200.0,13700.0,6590.0,15600.0,1080.0,213.0,606.0,262.0,524.0,143.0,1110.0,397.0,23900.0,6260.0,823.0,492.0,184.0,606.0,23400.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
1716642305,130000.0,44200.0,15400.0,9840.0,15600.0,1790.0,221.0,610.0,262.0,532.0,143.0,1120.0,397.0,23900.0,6270.0,926.0,631.0,188.0,668.0,23700.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
1716642320,130000.0,44500.0,15400.0,9840.0,15600.0,1790.0,279.0,610.0,262.0,532.0,143.0,1120.0,397.0,24000.0,6270.0,926.0,631.0,188.0,668.0,23700.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
1716642335,130000.0,44500.0,15600.0,9840.0,15600.0,1830.0,279.0,618.0,262.0,532.0,143.0,1130.0,397.0,24000.0,6270.0,926.0,631.0,188.0,672.0,23700.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
1716642350,131000.0,44500.0,15600.0,9840.0,15600.0,1830.0,279.0,635.0,262.0,532.0,143.0,1130.0,397.0,24000.0,6270.0,926.0,631.0,188.0,672.0,23700.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
1716642365,131000.0,44500.0,15600.0,9840.0,15600.0,1830.0,279.0,643.0,262.0,532.0,233.0,1130.0,397.0,24100.0,6270.0,926.0,631.0,188.0,672.0,23700.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
1716642380,131000.0,44500.0,15600.0,9840.0,15700.0,1840.0,279.0,643.0,262.0,532.0,233.0,1130.0,397.0,24100.0,6270.0,926.0,631.0,188.0,672.0,23700.0,193.0,315.0,532.0,614.0,17100.0,9090.0,43000.0,5310.0,30500.0,73900.0,30700.0,1110000.0,761000.0,594000.0,314000.0
