Contract Name,Status,Total Gas Used,Min Gas Cost for a Facet,Max Gas Cost for a Facet,Average Facet Gas Cost,Facet Gas Cost Stdev
cavelarink,Success,7356488,265957,2748210,903430.75,1065173.2902376438
chainscaler,Success,8353461,422152,3276526,1152671,1226286.1284669659
chocknurris,Success,8749119,399544,3272640,1001270.8,1135886.669763388
deBridge,Success,6585899,181537,965480,355390.25,240173.52317374098
doge,Failed,NA,NA,NA,NA,NA
dogewifhat,Success,8216430,265957,2969164,745608.8333333334,994564.5026312466
eesee,Success,6585707,181537,965480,355366.25,241558.05515276757
egreed,Success,8293958,265945,3049548,758532.1666666666,1024721.0254640718
fDragons,Failed,NA,NA,NA,NA,NA
fcksolana,Failed,NA,NA,NA,NA,NA
gETH,Success,7243298,265957,2634984,875130.25,1016145.9148484471
gOS,Failed,NA,NA,NA,NA,NA
gmew,Failed,NA,NA,NA,NA,NA
ishiinu,Success,8068816,265957,2821598,721006.5,939582.7914189273
itsbegun,Success,7726868,265957,2799312,796818.2,1001393.8409889288
jf,Success,7771047,265957,2843635,805656.4,1019133.5900417767
kandy,Success,7721564,265957,2793984,795757.4,999260.5721627569
kanyahwast,Success,8067823,265957,2820557,720841,939191.3599726807
kittyson,Success,8294102,265957,3049548,758554.1666666666,1024711.0780765502
lfgexchange,Failed,NA,NA,NA,NA,NA
liliaaitoken,Failed,NA,NA,NA,NA,NA
lowGas,Success,5167742,232777,342106,284993,36843.45989724635
niggainu,Failed,NA,NA,NA,NA,NA
nousai,Success,7381364,265957,2773122,909652.75,1075963.0058931801
oxShadows,Success,7573647,265957,2645659,766178.8,939899.0116737862
pepe,Failed,NA,NA,NA,NA,NA
pepewifvodka,Success,8752585,399544,3276106,1001964,1137272.8234289256
pokerface,Failed,NA,NA,NA,NA,NA
royalpig,Failed,NA,NA,NA,NA,NA
secon,Failed,NA,NA,NA,NA,NA
studant,Success,7728966,265957,2801458,797237.8,1002256.8800558867
sydney,Success,7960849,265957,2743328,703012,912594.3859625334
take_my_ETHER,Success,5276701,234477,491326,383484,105007.8486804677
tiktokphotos,Success,8070100,265957,2822726,721220.5,939991.4405613401
toro,Success,8170679,265957,2923485,737983.6666666666,977549.0761055882
tremp,Success,8155115,265957,2907825,735389.6666666666,971706.7474838052
veritas,Success,8236531,265957,2988717,748959,1001801.5633244606
vlademerputen,Success,8748303,399544,3271800,1001105.2,1135549.5775775532
wPUTIN,Success,8068876,265957,2821598,721018.5,939577.4541093371
wTRUMP,Success,7245528,265957,2637202,875687.75,1017104.5492638343
well3,Success,6585695,181537,965480,355364.75,241558.81635056812
women,Failed,NA,NA,NA,NA,NA
worm,Success,8068996,265957,2821658,721036.5,939596.2251949416
yHaaSRelayer,Failed,NA,NA,NA,NA,NA
zKProxy,Success,8397656,422152,3320781,1163728.75,1245451.3168920684
zkPass,Success,6585887,181537,965480,355388.75,240173.7892281077
