timestamp,beacon-metrics-gazer--2e73ea7fb1874fd8b436af91913745ba,cadvisor,cl-1-prysm-geth--913e0bc7a60d440abdf9d9adaf488ba6,cl-2-prysm-geth--3508a78ec3024129abece8254db0f89f,cl-3-prysm-geth--c5da3216a2444ecdad99225fc6af6f9a,cl-4-prysm-geth--64071cb6e4054ffca85d81f074644614,cl-5-prysm-geth--35bff00d19094189b4dbdae477ab6f99,dora--50338aa5c86f4e1088b54d531458cb5c,el-1-geth-prysm--d9774c61647d428abe16ff93a7d1794c,el-2-geth-prysm--d57c1c890acc4d029b174f70e79f513d,el-3-geth-prysm--a47af41839d74b6ea9dacee9e9bfbc09,el-4-geth-prysm--17f6a66db4264f1d95ad120eb10637b9,el-5-geth-prysm--544096fccb4c4445b21b436f761030ed,el-forkmon--859f24661976422b88d3ea4e7dc0a5b1,ethereum-metrics-exporter-1-prysm-geth--68c760dc3a2b407eac3ad660140b2fb5,ethereum-metrics-exporter-2-prysm-geth--eebf0494ed2b4ffe809e8e18f2b6ff5c,ethereum-metrics-exporter-3-prysm-geth--14553e8704fe4f588c6ebe6c60c3bb3c,ethereum-metrics-exporter-4-prysm-geth--f5e454b870f84fb3bb90d571b0e5fddb,ethereum-metrics-exporter-5-prysm-geth--007c8e624aed4ce28bf9c5ab5cfb9bcd,grafana,grafana--1ff3f43a3c5348d1a32767d7ef644730,kurtosis-api--370b2d3d7fb440e4802a4d67666a056f,kurtosis-engine--0d03c887a3884be3a71cebaef692f0cc,kurtosis-logs-aggregator,kurtosis-logs-collector--370b2d3d7fb440e4802a4d67666a056f,kurtosis-reverse-proxy--0d03c887a3884be3a71cebaef692f0cc,portainer,prometheus,prometheus--291616b49c7c4dd9975fa8c327850266,validator-key-generation-cl-validator-keystore--62e032cb716e4c63a63448512b3df6d3,vc-1-geth-prysm--e2d8cc641b774641ae660e47d66e2d95,vc-2-geth-prysm--54eed6dc08414c9094e7d83c0b4848b3,vc-3-geth-prysm--4f92e7bb2774425d97385751e7ac7fd5,vc-4-geth-prysm--67a52ac5076f45759cf64d4b32736d10,vc-5-geth-prysm--0238c08c9e1640198876ec491e0ba143
1716571750,159.16237372047902,54910.395735083046,61202.06925213816,61017.88531182652,60307.140060044374,60671.839601268686,60518.665095493256,158.13974207630798,14786.511904499705,15655.95522859593,15075.993015185342,14949.28804476999,15172.375540513005,7748.374019957235,867.4420156107541,884.4470251920673,875.640511518068,874.7422563614529,864.5145620349313,0.0,0.0,0.0,0.0,399.70334176773406,20499.97808171138,0.0,0.0,757.3112988580447,846.0338983050848,0.0,5299.603174603175,5176.190583617207,5090.841282039692,5182.473975095998,5283.875085279165
1716571765,155.12519561815336,53171.732992146826,70400.7239000113,72346.91524972844,67428.65182450533,67128.93300693961,66905.3676698728,153.01391035548687,16402.192186134085,15692.1404027663,16199.898112873216,15446.815002070301,14262.90142019887,8063.395472400717,846.5827338129498,860.9871415315275,843.0828583194261,854.2997542997542,843.0494272852877,0.0,0.0,0.0,0.0,408.29841870523046,24622.893001099306,0.0,0.0,696.4616662761221,905.6120774532327,0.0,5582.1720220131365,5615.281103888699,5661.285983319882,5402.014239365537,5500.251426572509
1716571780,163.59510383716133,55552.433852678165,73321.59367532439,70278.6370768886,69446.87098949384,67601.48405848158,68355.11832986462,152.48796147672553,14922.79640665303,14607.69921780855,15436.508649741632,14802.892304958235,14061.333036608432,6136.01920789462,880.1286853818696,876.5462476233085,892.9662926361345,896.7525395096579,891.3024045767409,0.0,1.542257865515114,0.0,0.0,424.8047526867366,24237.87135916896,0.0,0.0,737.8589735164619,874.2838107928047,0.0,5763.7178303649835,5762.793484532423,5211.827028010186,5414.814651173066,5589.542426367462
1716571795,159.30803571428572,53121.06051924009,72974.49072805334,69257.00280112044,71837.31863682377,68712.14598153139,69159.79404930059,139.99067764632767,15409.273244739261,16792.37231925713,16594.019978401728,14533.402663170033,15026.380729837743,8167.76683699204,860.9845636693352,850.3146018659145,872.5192882308345,852.0867607585074,855.7538269846922,0.0,1.548809629170723,0.0,0.0,414.95554853558366,24897.9449747333,0.0,0.0,713.2360725855973,863.5185267956913,0.0,5743.333701535402,5389.3511561665955,5623.976555858799,5186.649080056337,5278.49243962988
1716571810,159.80743394536498,54755.45305825683,59105.15258735072,55728.06109241522,60451.63498266764,57528.03542708585,56507.79595331441,160.21570069300532,14273.186439930303,17008.391925606713,15941.230404544132,15216.22965641953,16215.396561286745,8208.366491020539,856.3158937336298,850.9487579063159,888.4812248040947,870.9611683459752,857.4000720201655,0.0,1.525353555163322,0.0,0.0,459.0837988826815,20270.872186320856,0.0,0.0,780.3932428690114,842.3385152357114,0.0,5206.630892209036,5170.665953701847,5878.719380990676,5345.811895894775,5213.978086715909
1716571825,225.21278017913642,52390.69565217391,130274.34639424691,65897.66459074733,69167.6706147772,68030.81539236514,127123.98679749422,247.85917092561044,15719.101373767062,16753.4165181224,15424.03775188424,15188.7858007261,16853.461219550456,8711.462896888126,830.4613311892912,820.8846990572879,841.8763796909493,842.6610112735796,837.1383063445712,43.99319490490315,0.0,0.0,0.0,519.9848075247436,27374.708611770977,0.0,0.0,735.1481829153815,872.8248387951594,0.0,5933.914338267496,5878.610038610039,6110.702962720018,6067.165338601203,6272.361308998801
1716571840,233.65961477739182,52654.9486563251,130482.54696373963,66923.64436095393,69543.59860059341,67809.80212818168,128008.67426782922,237.09005254575104,14892.955043859649,15640.419947506563,13878.99980207165,15736.609217018076,15492.997134140704,6898.308937176106,881.0335546384352,866.6953003142166,894.0588736054481,887.1314461566311,892.541729223704,45.625775571707145,0.0,0.0,0.0,502.7940306357241,26631.43503888478,0.0,0.0,728.747668591717,883.1582648441964,0.0,5761.526587772086,5961.484685629396,6382.47248280862,6329.770212009423,6277.703336459869
1716571855,233.95577503913225,53242.02063039781,134062.85277384246,66836.49326406226,72292.37984615046,68863.89742219848,133625.4455468023,219.37392718402742,16835.001007319857,17073.835577697042,16697.55722775857,16436.610911364703,17178.452090671,9129.679918087522,852.8182788051208,837.1640888274432,867.4271004393946,847.9270868067133,863.0083335146543,48.441901014888,0.0,0.0,0.0,427.3448679588916,26647.24590308759,0.0,0.0,697.4755436543072,879.0864700343777,0.0,5981.675451892404,5554.255854122483,6355.223880597014,5592.563201451083,6334.926102900322
1716571870,172.2384672456684,53739.46975271478,58359.22372342971,53454.195568505515,61763.51260879268,57065.31217493305,57917.39378061282,152.26400613967766,16268.96876260476,18269.991383024557,17633.39975038865,16780.103191798262,17103.238421653925,9098.31065735113,857.9975443687911,848.8330581462805,881.8177743916103,836.016855178532,873.7476746531592,3.327565553041395,0.0,0.0,0.0,408.5156351933197,20557.02318159656,0.0,0.0,715.0526943726388,853.3533983199317,0.0,5473.7567189123265,4973.835676625658,5577.851149958162,5622.271460851633,5002.742625145769
1716571885,177.4864518450226,53559.83551900422,68876.89347869353,66029.9589965169,71003.55321096917,69379.97009148487,69355.93957178568,151.570918604909,15677.144857155357,18190.613047995936,18181.92144301324,16528.35195219301,17234.958875720484,9406.770316462673,838.8280818131565,825.7482933660074,842.6606618539861,849.0185081323613,845.6486042692939,4.702194357366772,0.0,0.0,0.0,418.62010900872957,24613.531432572596,0.0,0.0,721.1093990755007,909.2726433953559,0.0,5561.060165511071,5325.912635123162,5997.927872321665,5142.764511224399,5478.594277200824
1716571900,175.29093008794527,53505.71802900096,71974.08034010064,68679.92449777538,73488.2276727874,66650.80759613436,65988.80918220947,147.4435196195006,14632.523096241817,16021.091977039116,16072.288888888887,14826.503238751608,16506.103064426014,7457.191470054447,866.0183561456649,872.4504389535524,858.4440995884219,852.024677509815,899.1473757620751,4.218945703047749,25.92467678471051,0.0,0.0,436.5545194799442,25271.791579972556,0.0,0.0,718.2531086174777,881.8534367477937,0.0,5729.968426398182,5605.568445475638,5118.221113141126,5677.618300067279,5413.65434456418
1716571915,175.95915910560225,52805.02345154079,74427.96084378877,73829.18263823536,71687.90686307182,69422.63673867719,68242.66102572958,128.50420836370864,15016.518839758535,16865.373911881918,16420.591753368393,14910.982354490387,17686.165623133256,9038.523529545299,874.1382794781397,873.9495798319326,860.7282589365107,861.0384184021286,857.8676828998094,12.639788440420428,28.700440528634363,0.0,0.0,390.2892796369824,24493.945564825153,0.0,0.0,739.7481651067268,873.0947349489682,0.0,5355.381459497207,5635.222662991102,6050.946838082003,4907.619243327168,5591.814914236317
1716571930,170.57094696805981,53613.31375428291,61750.68153655514,60475.42753878702,60780.482870245476,58228.18256378428,58079.72012438915,146.74008810572687,15366.420251387455,17147.771274200808,17742.344360968324,15282.479608482872,17688.4322024308,10049.852190271431,852.2178353221431,881.3866166018506,859.8693791094832,847.2407825267816,853.2885876404742,10.387716980272447,29.559220525850144,1.5466195315952276,0.0,427.28197867351,21048.418664650148,0.0,0.0,722.1677025406173,843.1492842535788,0.0,5331.667652924803,5398.82928142101,5136.19525941413,5443.527433898824,5390.723853571272
1716571945,172.64157133795575,54129.42207048359,68302.41170827478,69817.59975186654,66915.7493743217,68757.42895453956,66618.21525148729,147.233026874116,15704.027905752271,16718.61673773987,17180.318006016332,17014.139844617093,17425.637491385252,9837.683735853965,863.4112282079816,850.1754865764163,859.6204900552726,864.07597423862,837.2256166553519,8.297829626820729,5.435983559464358,1.5327683986949572,0.0,448.3235474144771,24206.108738209645,0.0,0.0,712.3566203284196,882.1065626171109,0.0,5525.9448643841715,5639.229773751618,5737.258230222897,5804.961748633879,5504.745036298435
1716571960,175.90033874130862,55625.47594323295,70791.34711209325,69313.74118461472,70992.65415314447,68334.92660384197,68073.07887144023,145.96224020307793,17394.852172365467,15762.588150743386,16946.691937346142,16858.77930119416,15376.66316330866,8749.767791587421,869.367299148666,876.6101694915254,890.4882362158896,898.2300884955752,862.8975420667781,0.0,3.335853756171329,3.170361647682239,0.0,456.64224690767594,25383.487810928444,0.0,0.0,716.4084522430784,867.5967417937792,0.0,5575.623305336949,5659.759819976383,5179.017409534227,5650.4924808723945,5692.237083661159
1716571975,177.45851881829222,54471.10669167665,71773.29001668277,71237.25791714025,71661.56920865894,69847.84259424693,69905.0882420353,132.36193886106642,18358.49650428254,16307.790380726283,16657.77807040646,17751.71650055371,17221.42857142857,9193.610842207163,884.429774641475,852.8848295834262,878.6546695056895,868.1355255275245,868.3474021577213,0.0,4.24628450106157,1.5074511155138255,0.0,397.5960564521575,24866.278413579832,0.0,0.0,715.1025675254751,907.8024861284356,0.0,5741.909044591632,5777.332861377815,5946.448703494927,5569.863075095802,5473.225937092202
1716571990,177.0088134376892,52528.272285533734,59712.447011794684,61671.92584779047,60737.10933092633,61295.513441647694,59251.85888308812,153.80158659417063,17881.46395952428,17772.037354848777,16632.584423904093,17535.675504479233,17563.280331758808,10893.048489487192,860.9561752988047,853.5335610665011,879.3206926445419,893.2091632112026,839.638103979545,0.0,2.135943931471799,1.5602362643486012,0.0,435.6417937139536,21193.87824664258,0.0,0.0,736.6648706896552,858.0774812995421,0.0,5316.602575567877,5399.533077423845,5480.32588351866,5054.083312659284,5410.111858817238
1716572005,173.00863618429705,53580.58278322332,66080.06848401298,71099.66293158423,68483.42314771695,67747.25774983742,65964.35493572749,149.4779673142704,16663.69297354591,17830.21890016017,16817.042492917848,17550.826427970045,17437.799522992224,10631.062872616889,830.2118933697881,840.3892189023849,853.3841286815488,843.3193992878155,857.5696756830727,0.0,7.09752269159899,0.0,0.0,454.9500944159697,24486.543511930147,0.0,0.0,723.6424243789274,870.2315620398875,0.0,5579.461601530473,5634.000133211962,5469.108308343623,5791.7188918183,5587.354262073848
